id,host_yrs_experience,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,bed_type,charge_cleaning_fee,guests_included,charge_extra_people,availability_60,number_of_reviews,review_recency,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,review_scores_rating,target_recommendation_numeric,target_recommendation
6492589,4.8,within a day,100%,f,4,f,4,1,1,1,Real Bed,t,2,t,21,4,3.42,10,10,6,4,10,8,f,strict,0.19,60,0,bad
14331141,3.5,within a few hours,100%,f,1,f,6,2,3,3,Real Bed,t,5,f,54,2,3.23,6,6,8,6,10,6,f,strict,0.24,60,0,bad
9434964,5.5,within a few hours,84%,f,27,t,7,2.5,2,4,Real Bed,t,1,f,60,1,4.13,8,10,10,8,10,6,f,moderate,0.06,60,0,bad
11552737,6.9,within a few hours,93%,f,5,t,10,3.5,4,6,Real Bed,t,6,t,57,2,3.51,6,9,8,7,7,7,f,strict,0.2,60,0,bad
3468378,5.7,within a day,50%,f,2,t,10,5,5,5,Real Bed,t,9,f,58,1,4.65,8,6,10,8,10,8,f,strict,0.04,60,0,bad
4076913,6.8,N/A,N/A,f,1,f,1,1,1,1,Real Bed,f,1,f,60,1,4.88,4,8,10,10,8,6,f,moderate,0.04,60,0,bad
16729460,4.0,within an hour,99%,f,35,t,4,1,1,4,Real Bed,f,1,f,60,2,2.89,6,3,6,5,6,5,f,strict,0.81,60,0,bad
12989400,5.8,within an hour,100%,f,4,t,2,2,1,2,Real Bed,t,1,t,59,1,3.72,8,6,6,6,6,6,t,strict,0.09,60,0,bad
16214976,5.0,within an hour,100%,f,1,t,8,3.5,4,4,Real Bed,t,4,t,59,2,3.07,6,8,9,9,9,6,f,strict,0.52,60,0,bad
7289478,4.6,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,1,f,0,2,4.53,10,5,10,10,8,7,t,moderate,0.09,60,0,bad
13577359,3.7,N/A,N/A,f,0,f,4,1,1,2,Real Bed,t,1,t,0,1,3.51,6,6,10,6,10,6,t,strict,0.11,60,0,bad
6811855,4.7,N/A,N/A,f,1,f,4,2.5,3,3,Real Bed,f,1,f,0,1,4.61,8,4,8,6,8,6,f,flexible,0.05,60,0,bad
15800085,3.7,within an hour,75%,f,1,t,2,1,1,1,Real Bed,f,1,f,59,1,3.13,6,6,10,10,10,10,f,moderate,0.24,60,0,bad
17715463,3.2,within an hour,98%,f,6,f,4,4,1,2,Real Bed,t,1,f,58,1,2.90,8,6,10,2,2,4,t,flexible,0.77,60,0,bad
15936579,5.9,within an hour,92%,f,10,t,2,1,1,1,Real Bed,t,1,t,60,1,2.88,2,2,2,4,2,2,f,flexible,0.19,60,0,bad
4037406,5.5,a few days or more,40%,f,5,t,2,1.5,1,1,Real Bed,t,1,t,60,4,4.52,7,6,8,10,9,7,f,strict,0.18,60,0,bad
16532992,4.6,within an hour,90%,f,1,t,4,1.5,1,3,Real Bed,t,2,t,60,1,2.98,4,10,8,8,8,8,f,strict,0.45,60,0,bad
12494577,3.8,N/A,N/A,f,1,f,1,1,1,1,Real Bed,f,1,f,59,1,3.83,2,4,6,4,8,4,f,flexible,0.08,60,0,bad
17226607,3.4,within an hour,100%,f,3,f,2,2,2,1,Real Bed,t,1,t,0,3,3.01,4,5,10,6,10,10,f,moderate,1.14,60,0,bad
17654562,6.7,within a day,70%,f,3,f,2,2,2,1,Real Bed,t,1,f,57,1,2.88,4,10,10,8,10,6,t,flexible,1,60,0,bad
17620538,5.0,within a few hours,68%,f,3,t,6,1,1,3,Real Bed,t,1,t,52,2,2.89,7,6,10,8,6,5,t,flexible,1.13,60,0,bad
1024079,10.2,within a few hours,98%,f,22,t,1,,1,1,Real Bed,t,1,f,32,3,3.30,7,7,8,7,8,7,f,strict,0.06,60,0,bad
17963616,4.9,within an hour,100%,f,1,t,3,1,1,2,Real Bed,t,3,t,46,1,2.84,6,6,10,10,10,6,t,moderate,1,60,0,bad
13021185,5.5,N/A,N/A,f,1,f,1,0.5,1,1,Pull-out Sofa,f,1,f,0,2,3.69,8,5,8,10,9,9,f,flexible,0.17,60,0,bad
16965043,5.4,within an hour,100%,f,1,f,2,1,1,1,Real Bed,t,1,t,60,3,2.95,7,7,4,6,7,6,t,strict,1.06,60,0,bad
18413624,2.8,within an hour,100%,f,4,f,2,1,1,1,Real Bed,f,1,t,43,1,2.81,6,8,10,10,10,8,t,moderate,1,60,0,bad
